D,U,V
388,-61,-56
377,-61,-55
363,-61,-54
306,-61,-53
279,-61,-52
256,-61,-51
267,-61,-50
263,-61,-49
261,-61,-48
198,-61,-47
225,-61,-46
295,-61,-45
260,-61,-44
252,-61,-43
256,-61,-42
256,-61,-41
295,-61,-40
335,-61,-39
324,-61,-38
292,-61,-37
259,-61,-36
252,-61,-35
248,-61,-34
163,-61,-33
107,-61,-32
131,-61,-31
2,-61,-30
2,-61,-29
2,-61,-28
0,-61,-27
2,-61,-26
0,-61,-25
0,-61,-24
2,-61,-23
0,-61,-22
2,-61,-21
2,-61,-20
2,-61,-19
2,-61,-18
2,-61,-17
2,-61,-16
0,-60,-60
2,-60,-59
264,-60,-58
366,-60,-57
386,-60,-56
388,-60,-55
363,-60,-54
322,-60,-53
294,-60,-52
309,-60,-51
320,-60,-50
335,-60,-49
373,-60,-48
400,-60,-47
421,-60,-46
403,-60,-45
334,-60,-44
263,-60,-43
259,-60,-42
259,-60,-41
272,-60,-40
273,-60,-39
267,-60,-38
256,-60,-37
257,-60,-36
248,-60,-35
245,-60,-34
226,-60,-33
166,-60,-32
66,-60,-31
2,-60,-30
0,-60,-29
0,-60,-28
0,-60,-27
2,-60,-26
3,-60,-25
0,-60,-24
0,-60,-23
2,-60,-22
2,-60,-21
2,-60,-20
0,-60,-19
0,-60,-18
2,-60,-17
2,-60,-16
2,-59,-60
2,-59,-59
275,-59,-58
367,-59,-57
388,-59,-56
385,-59,-55
370,-59,-54
314,-59,-53
287,-59,-52
320,-59,-51
339,-59,-50
355,-59,-49
386,-59,-48
414,-59,-47
377,-59,-46
329,-59,-45
313,-59,-44
271,-59,-43
259,-59,-42
260,-59,-41
258,-59,-40
260,-59,-39
259,-59,-38
256,-59,-37
252,-59,-36
245,-59,-35
244,-59,-34
233,-59,-33
165,-59,-32
30,-59,-31
0,-59,-30
0,-59,-29
2,-59,-28
2,-59,-27
2,-59,-26
0,-59,-25
0,-59,-24
2,-59,-23
2,-59,-22
2,-59,-21
0,-59,-20
1,-59,-19
2,-59,-18
2,-59,-17
0,-59,-16
0,-58,-60
2,-58,-59
252,-58,-58
370,-58,-57
386,-58,-56
381,-58,-55
358,-58,-54
332,-58,-53
298,-58,-52
309,-58,-51
306,-58,-50
324,-58,-49
328,-58,-48
310,-58,-47
288,-58,-46
274,-58,-45
267,-58,-44
263,-58,-43
259,-58,-42
256,-58,-41
256,-58,-40
256,-58,-39
256,-58,-38
252,-58,-37
248,-58,-36
244,-58,-35
241,-58,-34
225,-58,-33
146,-58,-32
1,-58,-31
2,-58,-30
2,-58,-29
2,-58,-28
2,-58,-27
2,-58,-26
2,-58,-25
2,-58,-24
0,-58,-23
0,-58,-22
2,-58,-21
2,-58,-20
2,-58,-19
0,-58,-18
1,-58,-17
2,-58,-16
2,-57,-60
0,-57,-59
189,-57,-58
370,-57,-57
381,-57,-56
382,-57,-55
370,-57,-54
347,-57,-53
268,-57,-52
267,-57,-51
278,-57,-50
283,-57,-49
272,-57,-48
267,-57,-47
264,-57,-46
260,-57,-45
260,-57,-44
259,-57,-43
256,-57,-42
255,-57,-41
253,-57,-40
252,-57,-39
252,-57,-38
248,-57,-37
237,-57,-36
237,-57,-35
214,-57,-34
178,-57,-33
78,-57,-32
2,-57,-31
2,-57,-30
0,-57,-29
0,-57,-28
2,-57,-27
2,-57,-26
0,-57,-25
0,-57,-24
2,-57,-23
2,-57,-22
2,-57,-21
0,-57,-20
